Tel,Livesp,District,Floor,Bal,Price,lon,Walk,Kitsp,rooms,Metrodist,Totsp,lat,New,Brick,N,NFloor
1,32.3,0,7,1,8200000,37.674885,1,0,2,7,44.6,55.730831,0,0,147398175,9
0,18.0,0,12,1,8200000,37.673519,1,0,1,11,36.0,55.766724,0,0,150552626,12
1,20.0,0,2,1,8200000,37.541404,1,0,1,15,40.0,55.761381,0,1,150418247,5
0,30.6,0,5,0,8230204,37.671938,1,0,1,6,30.6,55.775753,0,0,149031312,0
0,28.6,0,4,0,8232146,37.671938,1,0,1,6,28.6,55.775753,0,0,149031294,0
1,19.0,0,7,0,8299000,37.684075,1,0,1,5,35.0,55.772639,0,0,148901680,12
1,17.0,0,7,0,8300000,37.684075,0,0,1,5,35.0,55.772639,0,0,148398513,12
0,34.4,0,1,0,8335196,37.671938,1,0,1,6,34.4,55.775753,0,0,149031229,0
1,19.0,0,9,1,8400000,37.668435,1,0,1,6,32.0,55.771418,0,1,50540787,9
1,19.0,0,5,0,8400000,37.570312,1,0,1,7,31.0,55.762505,0,1,144408040,5
1,19.0,0,7,1,8400000,37.697388,1,0,1,14,39.0,55.775262,0,1,150538968,16
0,28.7,0,5,0,8410919,37.671938,1,0,1,6,28.7,55.775753,0,0,149031315,0
0,0,0,3,0,8429850,37.564689,1,0,1,5,42.9,55.770244,0,1,138051118,39
0,0,0,2,0,8499650,37.564689,1,0,1,5,43.7,55.770244,0,1,138051019,39
1,18.5,0,6,0,8500000,37.668156,1,0,1,5,37.0,55.734805,0,0,150389374,17
0,26.6,0,1,0,8500000,37.567159,1,0,2,7,42.0,55.755282,0,1,148664905,9
1,18.0,0,6,1,8500000,37.59153,1,0,1,10,35.0,55.78486,0,0,150585923,16
1,28.7,0,3,1,8500000,37.562164,1,0,2,8,43.5,55.770537,0,0,137249950,5
0,36.8,0,4,0,8611226,37.671938,1,0,1,6,36.8,55.775753,0,0,149031391,0
0,50.0,0,3,0,8628726,37.671938,1,0,1,6,50.0,55.775753,0,0,149031366,0
0,23.1,0,13,0,8650000,37.668237,1,0,1,2,38.8,55.780046,0,1,150713491,14
0,38.4,0,3,0,8672814,37.671938,1,0,1,6,38.4,55.775753,0,0,149031363,0
1,30.0,0,4,0,12000000,37.653864,1,0,2,4,41.9,55.768881,0,0,28211650,8
1,75.0,0,4,1,149000000,37.571013,1,0,4,10,181.0,55.734973,0,1,51566794,6
1,84.0,0,9,1,66378270,37.598959,1,0,3,12,100.0,55.791289,0,1,150913161,0
0,20.0,0,2,1,8690500,37.564689,1,0,1,7,45.5,55.770244,0,1,150712854,44
0,19.0,0,12,1,8700000,37.68897,1,0,1,10,39.0,55.742103,0,0,148350834,17
1,29.0,0,4,1,8700000,37.629547,0,0,2,6,44.0,55.791344,0,1,150152817,9
1,18.0,0,5,1,8800000,37.580436,1,0,1,13,30.0,55.738343,0,1,51566329,5
0,52.7,0,2,0,8839861,37.671938,1,0,1,6,52.7,55.775753,0,0,149031325,0
0,39.4,0,3,0,8896178,37.671938,1,0,1,6,39.4,55.775753,0,0,149031367,0
1,20.0,0,12,0,8900000,37.67784,0,0,1,3,40.0,55.745473,0,0,149330276,22
1,20.0,0,12,1,8900000,37.67784,0,0,1,3,40.0,55.745473,0,0,149418633,22
0,31.0,0,1,1,8900000,37.67431,1,0,2,9,47.5,55.728591,0,0,150094573,12
0,0,0,3,0,8903736,37.671938,1,0,1,9,43.7,55.775753,0,1,150833983,6
0,43.7,0,3,0,8903736,37.671938,1,0,1,6,43.7,55.775753,0,0,149031277,0
0,49.9,0,4,0,8943624,37.671938,1,0,1,6,49.9,55.775753,0,0,149031385,0
0,38.9,0,4,0,8949981,37.671938,1,0,1,6,38.9,55.775753,0,0,149031383,0
0,0,0,6,0,8996400,37.564689,1,0,1,5,44.1,55.770244,0,1,50961523,39
1,17.0,0,16,0,9000000,37.669603,1,0,1,4,35.0,55.781934,0,1,136772061,21
0,34.0,0,4,0,9000000,37.655347,1,0,2,3,54.0,55.771312,0,0,149922809,6
1,40.0,0,1,0,9000000,37.635979,1,0,2,8,52.0,55.788054,0,0,149657988,8
0,18.0,0,3,1,9000000,37.657493,1,0,1,11,31.0,55.765088,0,0,148934694,9
1,17.0,0,4,0,9000000,37.657305,1,0,1,4,33.0,55.753889,0,0,150515133,12
0,19.0,0,13,1,9000000,37.680023,1,0,1,10,38.0,55.740705,0,0,150632548,17
1,20.0,0,1,0,9000000,37.678514,1,0,1,7,40.0,55.768061,0,0,150809777,12
0,21.3,0,5,1,9000000,37.562676,1,0,1,3,31.6,55.761872,0,0,148257362,9
1,31.0,0,7,1,9000000,37.639671,1,0,2,7,48.0,55.787801,0,0,140323353,12
1,16.0,0,1,0,9000000,37.572369,1,0,1,5,36.7,55.771925,0,1,147059590,16
1,16.0,0,1,0,9000000,37.572369,1,0,1,9,36.7,55.771925,0,1,147215248,16
0,20.0,0,2,0,22006000,37.649076,1,0,1,9,50.5,55.755935,0,1,150381527,7
0,93.0,0,5,1,76000000,37.593183,1,0,3,8,156.0,55.749486,0,1,139323202,7
1,170.0,0,42,0,97708813,37.539078,1,0,3,2,224.0,55.747115,0,1,148918370,73
0,53.6,0,4,0,9069305,37.671938,1,0,1,6,53.6,55.775753,0,0,149031378,0
